date,grade,name,station
1996-01-14,Carabinero,Christian Ulises Inostroza Jimenez,2a. Com. Santiago
1996-01-09,Cabo 1ro.,Omar Antonio Castro Yévenes,Tenencia Carretera Talca
1996-01-06,Cabo 2do.,Patricio Domingo Gutiérrez Medina,3a. Com. Parral
1995-12-25,Cabo 2do.,Erwin Eduardo Castro Pino,3a. Com. Santiago
1995-12-17,Sargento 1ro.,Héctor Antonio Norambuena Conejeros,3a. Com. Parral
1995-11-15,Cabo 2do.,Anselmo Enrique Tapia Silva,2a. Com. Quilpué
1995-11-14,Subteniente,Pablo Alfonso Loyola Kuhn,4a. Com. Cauquenes 
1995-08-13,Cabo 1ro.,Eliecer Mateo Medina Sandoval,2a. Com. Puerto Natales
1995-08-09,Suboficial Mayor,José Ricardo Fernández Angulo,3a. Com. Osorno
1995-07-31,Carabinero,Pedro Ismael Matamala Recabarren,1a. Com. Santiago
1995-07-27,Carabinero,José Enrique Vega Guiñez,1a. Com. Los Ángeles
1995-07-08,Cabo 2do.,Patricio Isaac Avendaño Correa,7a. Com. Renca
1995-06-22,Carabinero,Guillermo Alexis Campos Muñoz,47a. Com. Los Dominicos
1995-06-09,Carabinero,Marco Antonio Guzmán Vallejos,26a. Com. Pudahuel
1995-05-23,Sargento 2do.,Victor Hugo Valenzuela Flores,Depto. O.S.7. Sec. Valparaíso
1995-04-08,Teniente,Ricardo Alejandro Salinas Rodríguez,4a. Com. Quillota
1995-02-10,Carabinero,Alejandro Mauricio Nuñez González,SEBV
1994-11-02,Cabo 1ro.,José Santos Saavedra Rivera,1a. Com. Curicó
1994-10-29,Carabinero,Gustavo Adolfo Berrueta Vásquez,Subcom. Rocas de Santo Domingo
1994-10-24,Cabo 2do.,Carlos Alfredo Cordova Sandoval,Pref. San Antonio. PM.
1994-10-18,Carabinero,Sandro Ernesto Gutiérrez Torres,8a. Com. Colina
1994-09-10,Cabo 2do.,Wildo Julio Soto Morales,2a. Com. Quilpue
1994-09-07,Carabinero,Sergio Andrés Opazo Opazo,4a. Com. Quillota
1994-07-31,Cabo 2do.,Luis Eugenio López Cifuentes,4a. Com. Valparaíso
1994-07-05,Carabinero,Paulo Sergio Araos Yáñez,9a. Com. Independencia
1994-04-30,Carabinero,Óscar Nibaldo González Salazar,1a. Com. Linares
1994-03-14,Carabinero,Luis Manuel Nahuelhuen Ruiz,Pref. Valdivia. PM.
1994-03-01,Carabinero,Alfredo Hernán Muñoz Nail,37a. Com. Vitacura
1994-01-21,Mayor (S),Roberto Hafón Loo,Pref. Loa
1993-12-29,Carabinero,Juan Pablo Arce Morales,Tenencia Lampa
1993-12-25,Cabo 2do.,Juan Carlos René Padilla Álvarez,4a. Com. Hualpencillo
1993-12-02,Cabo 2do.,Hernán Enrique Araneda Aro,G.O.P.E. O.S.6. - P.A.E. Biobío
1993-10-27,Cabo 1ro.,Nelson Triviño Garcia,5a. Com. Puerto Montt
1993-10-27,Sargento 1ro.,Juan Héctor Zapata Melo,5a. Com. Puerto Montt
1993-10-11,Carabinero,Luis Marcelo Álvarez Saavedra,7a. Com. Renca
1993-09-28,Teniente,Raúl Antonio Zarate González,1a. Com. Punta Arenas
1993-09-28,Teniente ,Andrés Muñoz Henríquez ,1a. Com. Punta Arenas
1993-09-28,Carabinero,Mario Del Transito Leal Sanhueza,Tenencia Yendegaia (F).
1993-08-26,Carabinero,Juan Carlos Veloso Garrido,25a. Com. Maipú.
1993-07-05,Cabo 2do.,Juan Ramón Morales Gajardo,36a. Com. La Florida
1993-06-02,Cabo 1ro.,Héctor Alejandro Morales Herrera,1a. Com. Concepción
1993-05-23,Carabinero,Emanuel Jesús Hernández Vega,Prefectura Aeropolicial O.S.4. PM.
1993-05-22,Cabo 1ro.,Carlos Rene Campora Retamal,28a. Com. FF.EE.
1993-05-21,Cabo 1ro.,José Demetrio Burgos Valenzuela,28a. Com. FF.EE.
1993-05-05,Carabinero,Juan Roberto Aravena Carrera,39a. Com. Tránsito El Bosque
1993-05-01,Sargento 1ro.,Jorge David Rubio González,Sec. Recreacional B.1. 
1993-04-17,Cabo 1ro.,Ricardo Gonzalo Ardiles Troncoso,Tenencia Carretera Curicó
